ModelNumber;Mass;Height;AnkleHeightCoeff;KneeHeightCoeff;PelvisHeightCoeff;ShoulderHeightCoeff;ShoulderWidthCoeff;ElbowSpanCoeff;WristSpanCoeff;FingerSpanCoeff;FootLengthCoeff;HipWidthCoeff;UmbilicusHeightCoeff;XiphoidHeightCoeff
1;42.0;1.45;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
2;42.0;1.45;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
3;42.0;1.45;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
4;42.0;1.45;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
5;42.0;1.525;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
6;42.0;1.525;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
7;42.0;1.525;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
8;42.0;1.525;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
9;42.0;1.6;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
10;42.0;1.6;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
11;42.0;1.6;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
12;42.0;1.6;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
13;42.0;1.675;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
14;42.0;1.675;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
15;42.0;1.675;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
16;42.0;1.675;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
17;42.0;1.75;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
18;42.0;1.75;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
19;42.0;1.75;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
20;42.0;1.75;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
21;45.333333333333336;1.45;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
22;45.333333333333336;1.45;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
23;45.333333333333336;1.45;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
24;45.333333333333336;1.45;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
25;45.333333333333336;1.525;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
26;45.333333333333336;1.525;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
27;45.333333333333336;1.525;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
28;45.333333333333336;1.525;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
29;45.333333333333336;1.6;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
30;45.333333333333336;1.6;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
31;45.333333333333336;1.6;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
32;45.333333333333336;1.6;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
33;45.333333333333336;1.675;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
34;45.333333333333336;1.675;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
35;45.333333333333336;1.675;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
36;45.333333333333336;1.675;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
37;45.333333333333336;1.75;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
38;45.333333333333336;1.75;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
39;45.333333333333336;1.75;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
40;45.333333333333336;1.75;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
41;48.666666666666664;1.45;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
42;48.666666666666664;1.45;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
43;48.666666666666664;1.45;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
44;48.666666666666664;1.45;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
45;48.666666666666664;1.525;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
46;48.666666666666664;1.525;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
47;48.666666666666664;1.525;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
48;48.666666666666664;1.525;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
49;48.666666666666664;1.6;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
50;48.666666666666664;1.6;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
51;48.666666666666664;1.6;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
52;48.666666666666664;1.6;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
53;48.666666666666664;1.675;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
54;48.666666666666664;1.675;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
55;48.666666666666664;1.675;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
56;48.666666666666664;1.675;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
57;48.666666666666664;1.75;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
58;48.666666666666664;1.75;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
59;48.666666666666664;1.75;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
60;48.666666666666664;1.75;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
61;52.0;1.45;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
62;52.0;1.45;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
63;52.0;1.45;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
64;52.0;1.45;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
65;52.0;1.525;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
66;52.0;1.525;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
67;52.0;1.525;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
68;52.0;1.525;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
69;52.0;1.6;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
70;52.0;1.6;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
71;52.0;1.6;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
72;52.0;1.6;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
73;52.0;1.675;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
74;52.0;1.675;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
75;52.0;1.675;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
76;52.0;1.675;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
77;52.0;1.75;0.03;0.267;0.504;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.596;0.739
78;52.0;1.75;0.03;0.2405119047619048;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5606964856230032;0.7265399361022364
79;52.0;1.75;0.03;0.29348809523809527;0.454;0.817;0.201;0.5165;0.8195;1.004;0.106;0.191;0.5313035143769969;0.6514600638977636
80;52.0;1.75;0.03;0.267;0.504;0.817;0.201;0.5422221115537847;0.8603117529880477;1.054;0.106;0.191;0.596;0.739
